YR,CLUB,Runs,Single,Double,Triple,HomeRun,Walk,Strikeout,StolenBase,CaughtStealing
97,SD,4.907407407,6.641975309,1.697530864,0.098765432,0.938271605,3.734567901,6.981481481,0.87037037,0.358024691
97,ANA,5.117283951,6.580246914,1.722222222,0.154320988,0.99382716,3.808641975,5.882716049,0.777777778,0.444444444
97,CHI,4.838509317,6.534161491,1.614906832,0.173913043,0.98136646,3.534161491,5.596273292,0.658385093,0.322981366
97,TEX,4.981481481,6.308641975,1.925925926,0.166666667,1.154320988,3.086419753,6.895061728,0.444444444,0.228395062
97,SEA,5.709876543,6.030864197,1.925925926,0.12962963,1.62962963,3.864197531,6.851851852,0.549382716,0.24691358
97,CLE,5.391304348,6.49689441,1.869565217,0.136645963,1.366459627,3.832298137,5.931677019,0.732919255,0.366459627
97,NY,5.5,6.956790121,2.00617284,0.141975309,0.99382716,4.172839506,5.888888889,0.611111111,0.358024691
97,COL,5.697530864,6.561728395,1.660493827,0.24691358,1.475308642,3.475308642,6.543209877,0.845679012,0.401234568
97,BOS,5.24691358,6.746913581,2.302469136,0.197530864,1.141975309,3.191358025,6.438271605,0.419753086,0.296296296
96,CHN,4.736196319,5.693251534,1.63190184,0.116564417,1.073619632,3.202453988,6.662576687,0.656441718,0.306748466
96,LA,4.339506173,6.154320988,1.333333333,0.203703704,0.925925926,3.185185185,7.339506173,0.759259259,0.24691358
96,SF,4.641975309,6.055555556,1.512345679,0.12962963,0.944444444,3.796296296,7.333333333,0.697530864,0.327160494
96,CIN,4.802469136,5.62962963,1.598765432,0.222222222,1.179012346,3.722222222,7.00617284,1.061728395,0.388888889
96,DET,4.833333333,5.74691358,1.586419753,0.12962963,1.259259259,3.37037037,7.827160494,0.537037037,0.314814815
96,PHI,4.012345679,6.080246913,1.537037037,0.240740741,0.814814815,3.308641975,6.75308642,0.722222222,0.25308642
96,FLA,4.24691358,6.12962963,1.481481481,0.185185185,0.925925926,3.413580247,6.932098765,0.611111111,0.290123457
96,TOR,4.728395062,5.783950616,1.864197531,0.216049383,1.092592593,3.265432099,6.820987654,0.716049383,0.234567901
96,HOU,4.648148148,6.12345679,1.820987654,0.179012346,0.796296296,3.425925926,6.49382716,1.111111111,0.388888889
96,MON,4.574074074,5.981481481,1.833333333,0.166666667,0.913580247,3.037037037,6.648148148,0.666666667,0.203703704
96,OAK,5.314814815,5.833333333,1.74691358,0.12962963,1.5,3.950617284,6.87654321,0.351851852,0.222222222
96,SD,4.759259259,6.438271606,1.759259259,0.148148148,0.907407407,3.709876543,6.271604938,0.679012346,0.333333333
96,KC,4.633540373,6.397515527,1.776397516,0.236024845,0.763975155,3.285714286,5.863354037,1.211180124,0.527950311
96,PIT,4.790123457,6.302469136,1.956790123,0.203703704,0.851851852,3.154320988,6.092592593,0.783950617,0.308641975
96,STL,4.685185185,6.24691358,1.74691358,0.191358025,0.87654321,3.055555556,6.75308642,0.919753086,0.351851852
96,ATL,4.771604938,6.327160493,1.62962963,0.172839506,1.216049383,3.271604938,6.37037037,0.512345679,0.259259259
96,NYN,4.604938272,6.493827161,1.660493827,0.290123457,0.907407407,2.759259259,6.617283951,0.598765432,0.296296296
96,BAS,5.786585366,5.926829268,1.823170732,0.176829268,1.567073171,3.932926829,5.579268293,0.463414634,0.243902439
96,CAL,4.732919255,6.826086956,1.590062112,0.149068323,1.192546584,3.273291925,6.043478261,0.329192547,0.242236025
96,MIL,5.484662577,6.472392638,1.865030675,0.245398773,1.09202454,3.82208589,6.042944785,0.619631902,0.294478528
96,CHA,5.509202454,6.588957056,1.742331288,0.202453988,1.196319018,4.300613497,5.687116564,0.644171779,0.257668712
96,BOS,5.728395062,6.69135802,1.895061728,0.191358025,1.290123457,3.962962963,6.296296296,0.561728395,0.271604938
96,TEX,5.693251534,6.417177914,1.981595092,0.196319018,1.355828221,4.049079755,6.386503067,0.509202454,0.159509202
96,COL,5.895705521,6.45398773,1.82208589,0.226993865,1.355828221,3.233128834,6.809815951,1.233128834,0.404907975
96,SEA,6.167701863,6.329192545,2.130434783,0.111801242,1.52173913,4.161490683,6.534161491,0.559006211,0.242236025
96,MIN,5.413580247,7.012345675,2.049382716,0.290123457,0.728395062,3.555555556,5.913580247,0.882716049,0.308641975
96,NYA,5.37654321,7.024691359,1.808641975,0.172839506,1,3.901234568,5.611111111,0.586419753,0.290123457
96,CLE,5.913043478,6.763975158,2.080745342,0.142857143,1.354037267,4.167701863,5.236024845,0.98757764,0.310559006
95,DET,4.541666667,5.472222222,1.583333333,0.201388889,1.104166667,3.826388889,6.854166667,0.506944444,0.25
95,STL,3.937062937,5.685314686,1.664335664,0.167832168,0.748251748,3.048951049,6.433566434,0.552447552,0.321678322
95,ATL,4.479166667,5.534722222,1.458333333,0.1875,1.166666667,3.611111111,6.479166667,0.506944444,0.298611111
95,SF,4.527777778,5.847222221,1.590277778,0.229166667,1.055555556,3.277777778,7.361111111,0.958333333,0.319444444
95,MTL,4.3125,5.979166667,1.840277778,0.166666667,0.819444444,2.777777778,6.256944444,0.833333333,0.340277778
95,PIT,4.368055556,6.138888888,1.701388889,0.1875,0.868055556,3.166666667,6.75,0.583333333,0.381944444
95,KC,4.368055556,6.118055555,1.666666667,0.243055556,0.826388889,3.298611111,5.895833333,0.833333333,0.368055556
95,TOR,4.458333333,6.020833334,1.909722222,0.1875,0.972222222,3.416666667,6.291666667,0.520833333,0.111111111
95,BAL,4.888888889,5.819444444,1.590277778,0.1875,1.201388889,3.986111111,5.576388889,0.638888889,0.3125
95,FLA,4.706293706,6.23076923,1.496503497,0.202797203,1.006993007,3.615384615,6.405594406,0.916083916,0.370629371
95,PHI,4.270833333,6.3125,1.826388889,0.208333333,0.652777778,3.451388889,6.138888889,0.5,0.173611111
95,LA,4.402777778,6.534722222,1.326388889,0.215277778,0.972222222,3.25,7.104166667,0.881944444,0.3125
95,OAK,5.069444444,6.118055556,1.583333333,0.125,1.173611111,3.923611111,6.326388889,0.777777778,0.319444444
95,CHN,4.8125,5.909722222,1.854166667,0.270833333,1.097222222,3.055555556,6.618055556,0.729166667,0.256944444
95,TEX,4.798611111,6.215277778,1.715277778,0.166666667,0.958333333,3.652777778,6.090277778,0.625,0.326388889
95,MIL,5.138888889,6.319444444,1.729166667,0.291666667,0.888888889,3.486111111,5.555555556,0.729166667,0.277777778
